decision_date,country,authority,fine_amount_eur,controller,sector,articles_violated,violation_type,summary
2019-01-21,FR,CNIL,50000000,Google LLC,Tech,"Art. 5, Art. 6, Art. 13",Insufficient legal basis for data processing,Google failed to provide sufficiently transparent information about its personal data processing for ad personalisation.
2019-11-05,DE,LfDI Baden-Württemberg,500000,Knuddels GmbH & Co. KG,Tech,"Art. 32",Insufficient technical and organisational measures,Plain-text storage of 1.8 million user passwords exposed in a data breach.
2020-02-05,IT,Garante,27800000,Telecom Italia,Telecom,"Art. 5, Art. 6",Insufficient legal basis for data processing,Aggressive telemarketing campaigns conducted without valid consent across millions of users.
2020-06-16,DE,DSB Hamburg,35258708,H&M Norderstedt GmbH,Retail,"Art. 5",Non-compliance with general data processing principles,Extensive secret monitoring and profiling of hundreds of employees including health and personal data.
2020-10-16,UK,ICO,20000000,British Airways,Aviation,"Art. 5, Art. 32",Insufficient technical and organisational measures,"Data breach exposing personal and financial data of approximately 400,000 customers."
2020-10-30,UK,ICO,18400000,Marriott International,Hotels,"Art. 5, Art. 32, Art. 33",Insufficient technical and organisational measures,Breach of Starwood guest reservation database affecting up to 339 million guest records.
2020-12-01,IT,Garante,12250000,Vodafone Italia,Telecom,"Art. 5, Art. 6, Art. 17",Insufficient legal basis for data processing,Unlawful telemarketing and failure to honour opt-out requests from millions of customers.
2021-07-16,LU,CNPD,746000000,Amazon Europe Core SARL,Tech,"Art. 5, Art. 6",Insufficient legal basis for data processing,Amazon's advertising targeting system processed personal data without a valid legal basis.
2021-09-02,IE,DPC,225000000,WhatsApp Ireland Ltd,Tech,"Art. 13, Art. 14",Lack of transparency,WhatsApp failed to provide transparent information about data sharing between WhatsApp and other Facebook companies.
2021-10-26,NO,Datatilsynet,6500000,Grindr LLC,Tech,"Art. 6",Insufficient legal basis for data processing,Grindr disclosed sensitive personal data including HIV status and precise location to advertising partners without valid consent.
2021-06-15,ES,AEPD,200000,BBVA,Finance,"Art. 5, Art. 6",Insufficient legal basis for data processing,Bank processed customer personal data for marketing purposes without a valid legal basis.
2021-09-23,FR,CNIL,150000,Google Analytics,Tech,"Art. 44, Art. 46",Illegal international data transfer,Use of Google Analytics transferred EU user data to the United States without adequate safeguards.
2022-03-22,IT,Garante,20000000,Clearview AI Inc,Tech,"Art. 5, Art. 6, Art. 9",Insufficient legal basis for data processing,Unlawful collection and processing of biometric data of Italian residents from publicly available internet sources.
2022-11-28,IE,DPC,265000000,Meta Platforms Ireland,Tech,"Art. 25",Insufficient data protection by design and default,Facebook's contact importer tool exposed personal data of 533 million users due to inadequate privacy-by-design measures.
2022-07-12,AT,DSB,8000000,Austrian Post,Postal,"Art. 5, Art. 6",Insufficient legal basis for data processing,Processing of political affinity data of 3 million Austrians inferred without valid legal basis and sold to third parties.
2023-05-22,IE,DPC,1200000000,Meta Platforms Ireland,Tech,"Art. 46",Illegal international data transfer,Meta transferred EU personal data to the United States without ensuring an equivalent level of data protection as required by GDPR.
2023-09-01,IE,DPC,345000000,TikTok Technology Ltd,Tech,"Art. 5, Art. 6, Art. 8",Insufficient legal basis for data processing,TikTok failed to protect children's data and used dark patterns to nudge children toward privacy-unfriendly settings.
2023-01-04,FR,CNIL,60000000,Microsoft Ireland Operations,Tech,"Art. 82",Non-compliance with cookie rules,Users of bing.com could not refuse cookies as easily as accept them.
2023-03-23,DE,LfDI Baden-Württemberg,1240000,AOK Baden-Württemberg,Health,"Art. 5, Art. 32",Insufficient technical and organisational measures,"Health insurer leaked personal data of approximately 500,000 insured persons via an unsecured contest participation platform."
2023-11-14,DE,BayLDA,300000,Kronos Inc,Tech,"Art. 32, Art. 33, Art. 34",Insufficient technical and organisational measures,Ransomware attack on HR software provider exposed payroll data; delayed notification to affected data subjects.
2022-01-20,FR,CNIL,150000000,Google LLC,Tech,"Art. 82",Non-compliance with cookie rules,Google made it more difficult to refuse cookies than to accept them on google.fr and youtube.com.
2022-01-20,FR,CNIL,60000000,Facebook,Tech,"Art. 82",Non-compliance with cookie rules,Facebook made it more difficult to refuse cookies than to accept them.
2020-10-27,IT,Garante,6000000,Fitbit LLC,Tech,"Art. 6, Art. 9",Insufficient legal basis for data processing,Processing of health and biometric data of Italian users without a valid legal basis.
2021-12-09,IT,Garante,3300000,Zoom Video Communications,Tech,"Art. 5, Art. 6",Insufficient legal basis for data processing,Transfer of personal data to the United States without adequate safeguards and lack of transparency.
2019-06-06,BE,APD,30000,Football Club,Sports,"Art. 6",Insufficient legal basis for data processing,A football club published fan data including ticket purchase history on a public website without consent.
